Iteration,Type,Mobility,Delay,Tp_type,Ap_type,Server_type,V_id,Tile_scheme,VP_trace,VP_error,Thread,Total_seg,Algo,Buffer_time,Host_num,Bg_traffic,til_720_z1, til_1080_z1, til_4k_z1, til_720_z2, til_1080_z2, til_4k_z2, til_720_z3, til_1080_z3,til_4k_z3, z1_bit, z2_bit, z3_bit, qt_sw_z1, qt_sw_z2, qt_sw_z3, total_stall, start_time,QoE,QoE1,nQoE,nQoE1
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,2770256.895853,116066569.504949,160710208.440473,1,1,1,0.0,0.000131,16829936797.337854,33436750225.88568,2.792482303816838,1.6563945066224797
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,4152219.096769,120350062.551869,86094668.658947,1,1,0,0.0,0.000215,17504802208.532555,23609063481.077583,2.9470413949915866,0.9523967029758406
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,3329088.993214,128609036.668205,154349783.357804,1,1,1,0.050767,0.000143,18659523016.71758,33786559360.02072,3.21149797509354,1.6814527801024215
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,1,2,1,no,1,0,59,8,0,472,1380,0,0,4088008.308198,123382492.03259,81423425.737733,1,1,0,1.056051,0.000119,17938775196.095745,23252848330.438644,3.0464307983296783,0.9268795400679006
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,2625162.928746,102138918.971327,145807551.370479,1,1,1,0.0,0.000147,14818261173.87778,30037035152.380207,2.331764135508337,1.4128588703206166
1,5g,19mjk,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,3,0,1,60,1,4,1,no,2,0,58,10,0,470,1377,0,3,3649293.96235,117522994.743182,78396995.15725,1,1,0,0.0,0.000187,17076581588.43603,22254263172.563828,2.8489694109092496,0.8553467596534867
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,4637341.461996,120853493.39945,185758065.041424,1,1,1,0.341395,0.000899,17597671388.45269,55264090924.97231,2.9683104892561603,3.219977098397889
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,5687840.073231,131883217.381516,108747368.064486,1,1,0,0.107529,0.000129,19230072584.55113,38346562277.4282,3.342166433147109,2.008104628277484
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,3833875.534468,128811730.542428,186306359.937863,1,1,1,0.0,0.000236,18709911969.55622,56122637128.97958,3.2230381587017067,3.28147830998968
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,1,0,1,60,1,4,1,no,2,0,58,17,0,463,2330,0,10,4963858.287733,119626172.624804,102813909.911035,1,1,0,0.0,0.000122,17434650905.05601,35751049538.34769,2.930975196413022,1.8221773276729072
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,3455994.960969,126935141.021794,183483438.121691,1,1,1,0.405832,0.000177,18423812092.753223,55266049844.18279,3.1575149651724987,3.220117423874017
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,4309735.206039,132985030.980955,107939760.639245,1,1,0,0.030284,0.000529,19330853338.778767,38205475841.37625,3.365247452744416,1.9979980239784232
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,3311111.066559,132807477.769008,186677738.308769,1,1,1,0.0,0.000129,19263343462.53213,56571175293.87157,3.349786199367201,3.31360895183197
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,2,0,1,60,1,4,1,no,1,0,59,8,0,472,2340,0,0,3987544.517042,126913119.069087,105181400.932507,1,1,0,0.0,0.000129,18442966014.66373,36963584117.654205,3.161901636520315,1.9090361890553533
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,0,2,1,no,1,0,59,8,0,472,39,0,2301,2643813.799542,132070471.112901,180621233.274237,1,1,1,0.166074,0.00016,19129188018.12364,55055173990.875885,3.319061638262173,3.2050115152889065
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,1,2,1,no,1,0,59,8,0,472,2340,0,0,3667311.337163,121512205.494034,100574251.435544,1,1,0,0.342245,0.00018,17651784664.829388,35353573637.13306,2.9807036252482155,1.7937044867365193
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,0,4,1,no,1,0,59,8,0,472,39,0,2301,2583992.266534,112995438.295616,172331636.567789,1,1,1,0.0,0.00015,16379870788.762438,51281692707.43556,2.689407243071141,2.9347014611912714
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,12x4,3,0,1,60,1,4,1,no,1,0,59,8,0,472,2340,0,0,3354673.314551,115514691.647137,99719014.430577,1,1,0,0.0,0.000162,16775011875.398222,34564556053.190605,2.7799032830565276,1.7371838974505907
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,6038238.233382,127541007.988086,167450919.107622,1,1,1,0.034302,0.000277,18619511154.93774,35605769608.36154,3.2023343746328887,1.8117703260783338
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,1,2,1,no,1,0,59,8,0,472,1380,0,0,5466731.924977,123092884.352766,82007820.650789,1,1,0,0.201291,0.00015,17954978085.781193,23363598886.75724,3.050141618091139,0.9348130599719742
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,0,4,1,no,1,0,59,8,0,472,23,0,1357,9198833.534529,145094519.626329,239529953.645378,1,1,1,0.0,0.000115,21279961833.641125,47370558494.6395,3.8116363661036115,2.6545307590644187
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,1,0,1,60,1,4,1,no,1,0,59,8,0,472,1380,0,0,8619290.609783,169392803.101052,145102223.914801,1,1,0,0.0,0.000121,24754573851.161854,36647826202.65386,4.6073992940956785,1.8864171450812748
1,5g,18mpo,1,tcp,http-1.1_p,WSGI_caddy,v1,8x4,2,0,1,60,0,2,1,no,1,0,59,8,0,472,23,0,1357,5626298.999024,158469432.125802,242001149.175562,1,1,1,0.07068,9.9e-05,23055902782.770138,48845528626.95915,4.218366085132301,2.760188963335733
