Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,Operatorname,SourceFile
2025.01.18_17.41.04,-90.159501,29.958627,5G,5G NSA,-84,-11,18.0,4,X,18ma
2025.01.18_17.41.05,-90.159501,29.958627,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.05,-90.159343,29.958677,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.06,-90.159343,29.958677,5G,5G NSA,-84,-11,18.0,7,X,18ma
2025.01.18_17.41.06,-90.159183,29.958733,5G,5G NSA,-84,-11,18.0,7,X,18ma
2025.01.18_17.41.07,-90.159183,29.958733,5G,5G NSA,-84,-11,18.0,41148,X,18ma
2025.01.18_17.41.07,-90.159017,29.958781,5G,5G NSA,-84,-11,18.0,41148,X,18ma
2025.01.18_17.41.08,-90.159017,29.958781,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.08,-90.158861,29.958824,5G,5G NSA,-84,-11,18.0,3,X,18ma
2025.01.18_17.41.09,-90.158861,29.958824,5G,5G NSA,-77,-11,32.0,3,X,18ma
2025.01.18_17.41.09,-90.158703,29.958874,5G,5G NSA,-77,-11,32.0,3,X,18ma
2025.01.18_17.41.10,-90.158703,29.958874,5G,5G NSA,-77,-11,32.0,4,X,18ma
2025.01.18_17.41.10,-90.158547,29.95893,5G,5G NSA,-77,-11,32.0,4,X,18ma
2025.01.18_17.41.11,-90.158547,29.95893,5G,5G NSA,-77,-11,32.0,3,X,18ma
2025.01.18_17.41.11,-90.15839,29.958984,5G,5G NSA,-77,-11,32.0,3,X,18ma
2025.01.18_17.41.12,-90.15839,29.958984,5G,5G NSA,-77,-11,32.0,3,X,18ma
2025.01.18_17.41.12,-90.158236,29.959031,5G,5G NSA,-77,-11,32.0,3,X,18ma
2025.01.18_17.41.13,-90.158236,29.959031,5G,5G NSA,-76,-11,30.0,3,X,18ma
2025.01.18_17.41.13,-90.158081,29.959079,5G,5G NSA,-76,-11,30.0,3,X,18ma
